model_norm,effort_norm,cursor_score,deepswe_score,cursor_cost,deepswe_cost
claude-opus-4.7,max,64.8,54.20353982300885,11.02,18.1867308386918
gpt-5.5,xhigh,64.3,70.04504504504504,4.37,6.605861326576576
claude-opus-4.8,max,63.8,58.1858407079646,7.59,12.581343959070797
gpt-5.5,high,62.6,61.94690265486725,3.59,4.473357603982301
claude-opus-4.8,xhigh,62.1,57.743362831858406,6.14,7.553111373340708
claude-opus-4.7,xhigh,61.6,44.690265486725664,7.11,8.579992504424778
claude-opus-4.7,high,59.4,40.26548672566372,5.01,4.830124757190266
gpt-5.5,medium,59.2,48.008849557522126,2.22,2.342581758849557
claude-opus-4.8,high,58.4,50.66371681415929,4.41,3.9815333136061946
claude-opus-4.8,medium,56.6,47.34513274336283,3.83,3.2540401521017697
claude-opus-4.7,medium,52.7,31.63716814159292,2.93,2.340389400442478
gemini-3.5-flash,medium,49.8,28.31858407079646,1.94,7.423100473451328
claude-sonnet-4.6,high,48.8,31.56342182890856,3.06,5.518456022818792
kimi-k2.6,default,47.6,23.893805309734518,1.27,3.1615826901659294
